SquarespaceProductName,QuickBooksItem
Horween • Latigo - Rio - 5-6 oz (2.0 –  2.4 mm),Aniline Latigo Rio 5-6 oz
Intercom Ecostick 1816B • Water-Based Leather Glue - 1 Box - 2 Bags (10 kg),Ecostick 1816B
Conceria Walpier • Buttero - Resin - #11 Green - 5-5.5 oz (2-2.2 mm),Buttero #11 Green (Resin) 5-5.5
Conceria Walpier • Buttero - Resin - #9 Red - 3-3.5 oz (1.2-1.4 mm),Buttero #100 Black (Res) 3-3.5
Conceria Walpier • Buttero - Resin - #11 Green - 3-3.5 oz (1.2-1.4 mm),Buttero #11 Green (Resin) 3-3.5
35mm Garnet Cordovan Belt - 36 - Increase Pant Size by 2 for Belt Size,Commission
Virgilio • Vachetta - Turchese - 3-4 oz (1.2-1.6 mm),Vachetta Alloro 3-3.5 oz
Horween • Cavalier Chromexcel® - Carolina Brown - 3-4 oz (1.2-1.6 mm),*Carolina Brown Chrxl 4-5 oz
Horween • LaSalle - Fun Blue - 5-6 oz (2.0-2.4 mm),Lasalle Fun Blue 5-6 oz
Horween • Cavalier Chromexcel® - London Bus Red - 3-4 oz (1.2-1.6 mm),Cavalier London Bus Red 3.5-4
Virgilio Swatch Books - Smoked Matte,Sample Book - Smoked Matte
Splenda Swatch Books - Classic,Sample Book - All Splenda
Horween Derby Leather Panels - 1’ Panel (12”x12”) - Light Natural - 3-4 oz (1.2-1.6 mm),Panel Derby Lt Nat 3.5-4 oz
Horween • Dublin - Light Natural - 5-6 oz (2.0 –  2.4 mm),Dublin Light Natural 5-6 oz
Horween • Chromexcel® - Black - 5-6 oz (2.0 –  2.4 mm),*Black Beaufort Chrxl 5.5-6z
Horween • Derby - English Tan - 3-4 oz (1.2-1.6 mm),Derby English Tan 3.5-4 oz
Horween • Dublin - Black - 8-9 oz (3.2 –  3.6 mm),Dublin Black 8-9 oz
Horween • Chromexcel® - Black - 4-5 oz (1.6 – 2 mm),*Black Chrxl 4-5 oz
Conceria Walpier • Buttero - No Resin - Black - 3-3.5 oz (1.2-1.4 mm),Buttero #100 Black (Res) 3-3.5
Horween • Dublin - Light Natural - 3-4 oz (1.2-1.6 mm),Dublin Light Natural 3-3.5 oz
Horween • Cavalier Chromexcel® - Carolina Brown - 5-6 oz (2-2.4 mm),Cavalier Carolina Brown 5-6 oz
Horween • Essex - Black - 3-4 oz (1.2-1.6 mm),Essex Black 3-3.5 oz
Horween • Russet Horsehide Strips Stained Bundles - Soft Rolled Strips - Regular - 7-9oz,Russet Strips SR 7-9 oz
Horween Dublin Leather Panels - 2’ Panel (12”x24”) - Natural - 5-6 oz (2-2.4 mm),Panel Dublin Natural 5-6 oz
Horween Dublin Leather Panels - 2’ Panel (12”x24”) - Brown Nut - 3-4 oz (1.2-1.6 mm),Panel Dublin Brown Nut 3.5-4 oz
Horween Dublin Leather Panels - 1’ Panel (12”x12”) - English Tan - 5-6 oz (2-2.4 mm),Panel Dublin English T 5-6 oz
Horween Dublin Leather Panels - 1’ Panel (12”x12”) - Black - 5-6 oz (2-2.4 mm),Panel Dublin Black 5-6 oz
"Horween Chromexcel® Leather Panels - 1' Panel (12""x12"") - Navy - 5-6 oz (2-2.4 mm)",Panel Chrxl Navy 5-6 oz
Horween Dublin Leather Panels - 2’ Panel (12”x24”) - Light Natural - 5-6 oz (2-2.4 mm),Panel Dublin Lt Nat 5-6 oz
Horween Derby Leather Panels - 1’ Panel (12”x12”) - Brown Nut - 3-4 oz (1.2-1.6 mm),Panel Derby Brown Nut 3.5-4 oz
"Horween Chromexcel® Leather Panels - 2' Panel (12""x24"") - Greener Pastures - 5-6 oz (2-2.4 mm)",Panel Chrxl Greener P 5-6 oz
Conceria Walpier • Tuscany - Single Shoulder (7-8.5 sf) - Foresta - 5-5.5 oz (2-2.2 mm),Tuscany #100 Black 5-5.5 oz
Horween Swatch Books - Montana,Sample Book - All Horween
Conceria Walpier • Buttero - No Resin - #7 Brown - 6.5-7 oz (2.6-2.8 mm),Buttero #2 Brown (Resin) 6.5-7
Horween • Dublin - English Tan - 5-6 oz (2.0 –  2.4 mm),*English Tan Dublin 4.5-5z
Conceria Walpier • Buttero - Resin - Foresta - 3-3.5 oz (1.2-1.4 mm),Buttero #100 Black (Res) 3-3.5
Tulliani Belts • Hubbard Street - 34 - Black Chromexcel,Commission
Tulliani Belts • Hubbard Street - 34 - Brown Chromexcel,Commission
Tulliani Belts • Elston Ave - 34 - Rio Latigo,Commission
Horween • Pinnacle Double Horsefronts - Black,DHF Pinnacle Black
Splenda • Classic - Tan - 4.5-5 oz (1.8-2 mm),Splenda Classic Tan 4.5-5 oz
Horween • Montana Bison - Color 8,Bison Montana Color #8 5-6 oz
Conceria Walpier • Buttero - Resin - #7 Brown - 3-3.5 oz (1.2-1.4 mm),Buttero #2 Brown (Resin) 3-3.5
Conceria Walpier • Buttero - Resin - #131 Violet - 3-3.5 oz (1.2-1.4 mm),Buttero #100 Black (Res) 3-3.5
Horween • Cypress - Tokyo Purple - 3-4 oz (1.2-1.6 mm),Cypress Tokyo Purple 3.5-4 oz
Tusting & Burnett • Mad Dog® - Danube Blue,T&B Mad Dog Danube 2-2.5 oz
Horween Derby Leather Panels - 2’ Panel (12”x24”) - English Tan - 3-4 oz (1.2-1.6 mm),Panel Derby English T 3.5-4 oz
"Conceria Walpier • Rocky, Belt Weight (8-9 oz) - Foresta",Commission
Horween • Chromexcel® - Brown - 4-5 oz (1.6 – 2 mm),*Brown Chrxl 4-4.5oz.
